path,text,line_1,line_2,manual,source
"posts/DS-7ko4js03.jpg","breathe deep, reset slowly.","breathe deep,","reset slowly.","yes","visual-sheet"
"posts/DS0CYKtDM2a.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/DS0vPLKDB2M.jpg","stay goofy twin, it's iconic.","stay goofy twin,","it's iconic.","yes","visual-sheet"
"posts/DS2MtfzDHRt.jpg","smile today, it helps.","smile today,","it helps.","yes","visual-sheet"
"posts/DS2z2MRjv2I.jpg","take it slow, no rush.","take it slow,","no rush.","yes","visual-sheet"
"posts/DS5IbwvDJRN.jpg","stay goofy twin, it's iconic.","stay goofy twin,","it's iconic.","yes","visual-sheet"
"posts/DScvfEjDBsC.jpg","cold air, clear mind.","cold air,","clear mind.","yes","visual-sheet"
"posts/DShP6HdjVuK.jpg","stay calm, you're learning.","stay calm,","you're learning.","yes","visual-sheet"
"posts/DSiaEuRDtL4.jpg","remember, you've come far.","remember,","you've come far.","yes","visual-sheet"
"posts/DSmmknSjdCn.jpg","keep moving, it adds up.","keep moving,","it adds up.","yes","visual-sheet"
"posts/DSp7Lg7DQco.jpg","quick reminder: enjoy christmas bro.","quick reminder:","enjoy christmas bro.","yes","visual-sheet"
"posts/DSpkQ0ljHPd.jpg","remember to f* their opinion.","remember to","f* their opinion.","yes","visual-sheet"
"posts/DST3qeUjCXt.jpg","stay real, stay true twin.","stay real,","stay true twin.","yes","visual-sheet"
"posts/DSuhQ8SDFRY.jpg","stay weird, it's gangsta.","stay weird,","it's gangsta.","yes","visual-sheet"
"posts/DSXB8vUDdDc.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/DSySIl1DJxI.jpg","smile bro, u are on fire.","smile bro,","u are on fire.","yes","visual-sheet"
"posts/DSZAcPrDBp7.jpg","remember to stay real tho.","remember to","stay real tho.","yes","visual-sheet"
"posts/DT0gQo8jIyu.jpg","stay weird it makes u chill.","stay weird it","makes u chill.","yes","visual-sheet"
"posts/DT3EgjHjB2y.jpg","stay weird, it's cool af.","stay weird,","it's cool af.","yes","visual-sheet"
"posts/DT5GlTljeSy.jpg","stay iconic, it's gangsta.","stay iconic,","it's gangsta.","yes","visual-sheet"
"posts/DT_pGobCKD3.jpg","stay soft bro, it's powerful.","stay soft bro,","it's powerful.","yes","visual-sheet"
"posts/DTaVlhvjBap.jpg","thumbs up bro, you're doing great.","thumbs up bro,","you're doing great.","yes","visual-sheet"
"posts/DTazcJSjV6l.jpg","a weirdo but im real though","a weirdo but","im real though","yes","visual-sheet"
"posts/DTBL3HUDsAH.jpg","quick reminder u are awesome","quick reminder","u are awesome","yes","visual-sheet"
"posts/DTDMJvhDRk9.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
